"Gel","Telomere.ID","Individual.Treatment","Capture.Date","Site","Nest","Age","Mass","Bill.Head","Flat.Wing","Nestling.Fate","Mean.TRF","X","X.1","X.2","yday","year","avgC_capture_day","maxC_capture_day","incubation_max_temp","incubation_avg_temp","incubation_below_18.5"
3,"T21N253","Cold_Control",2021-06-14,"Unit_1",114,10,"22.1","25.1","42","Fledged",8.51,NA,NA,NA,165,2021,20.3333333333333,24.4444444444444,21.3703703703704,17.7728395061728,4
3,"T21N254","Cold_Cold",2021-06-14,"Unit_2",70,12,"19.7","26.4","58","Fledged",11.65,NA,NA,NA,165,2021,20.3333333333333,24.4444444444444,22.2916666666667,18.3935185185185,4
3,"T21N262","Cold_Control",2021-06-14,"Unit_2",120,12,"22.7","27","61","Fledged",7.87,NA,NA,NA,165,2021,20.3333333333333,24.4444444444444,22.3202614379085,18.4509803921569,4
3,"T21N269","Cold_Cold",2021-06-14,"Unit_2",7,12,"19.5","26.6","53","Dead",9.8,NA,NA,NA,165,2021,20.3333333333333,24.4444444444444,22.3202614379085,18.4509803921569,4
3,"T21N270","Cold_Control",2021-06-14,"Unit_2",19,12,"21.9","26.1","52","Fledged",8.33,NA,NA,NA,165,2021,20.3333333333333,24.4444444444444,22.2916666666667,18.3935185185185,4
3,"T21N271","Cold_Control",2021-06-14,"Unit_2",19,12,"20","27","60","Fledged",7.39,NA,NA,NA,165,2021,20.3333333333333,24.4444444444444,22.2916666666667,18.3935185185185,4
3,"T21N272","Cold_Control",2021-06-14,"Unit_2",19,12,"21.1","26.1","55","Fledged",7.6,NA,NA,NA,165,2021,20.3333333333333,24.4444444444444,22.2916666666667,18.3935185185185,4
3,"T21N278","Cold_Cold",2021-06-14,"Unit_2",44,12,"20","27","56","Fledged",8.99,NA,NA,NA,165,2021,20.3333333333333,24.4444444444444,22.1111111111111,18.2469135802469,4
3,"T21N279","Cold_Cold",2021-06-14,"Unit_2",44,12,"17.3","26.4","53","Dead",11.5,NA,NA,NA,165,2021,20.3333333333333,24.4444444444444,22.1111111111111,18.2469135802469,4
3,"T21N309","Cold_Cold",2021-06-15,"Unit_2",6,12,"20.8","26.4","56","Fledged",11.21,NA,NA,NA,166,2021,16.2962962962963,18.3333333333333,22.0833333333333,18.3287037037037,4
