"gel","Telomere_Sample_nb","Mean_TRF","Individual_Band","Individual_Treatment","Age","Site","Nestling_Fate","Exp_Year","Experiment","Capture_Date","Nest","Mass","Bill.Head","Flat_Wing","Blood_DNA_Sample_nb","yday","year","avgC_capture_day","maxC_capture_day","incubation_max_temp","incubation_avg_temp","incubation_below_18.5"
3,"T21N305",9.79,281174792,"Prev_Control",12,"Unit_2","Fledged",2021,"Carryover",2021-06-15,121,21,25.3,61,210539,166,2021,16.2962962962963,18.3333333333333,21.7037037037037,18.0222222222222,4
3,"T21N306",10.35,281174793,"Prev_Control",12,"Unit_2","Fledged",2021,"Carryover",2021-06-15,121,20,24.2,55,210540,166,2021,16.2962962962963,18.3333333333333,21.7037037037037,18.0222222222222,4
3,"T21N327",8.84,272108265,"Prev_Cort",12,"Unit_2","Dead",2021,"Carryover",2021-06-16,105,20,25.3,55,210613,167,2021,16.3703703703704,19.4444444444444,21.3703703703704,17.7728395061728,4
3,"T21N328",9.19,272108266,"Prev_Cort",12,"Unit_2","Dead",2021,"Carryover",2021-06-16,105,20.6,25.7,55,210614,167,2021,16.3703703703704,19.4444444444444,21.3703703703704,17.7728395061728,4
3,"T21N329",8.86,272108267,"Prev_Cort",12,"Unit_2","Dead",2021,"Carryover",2021-06-16,105,21.2,24.6,48,210615,167,2021,16.3703703703704,19.4444444444444,21.3703703703704,17.7728395061728,4
3,"T21N330",8.29,272108268,"Prev_Cort",12,"Unit_2","Dead",2021,"Carryover",2021-06-16,105,22,26.7,56,210616,167,2021,16.3703703703704,19.4444444444444,21.3703703703704,17.7728395061728,4
3,"T21N331",8.81,272108269,"Prev_Control",12,"Unit_2","Fledged",2021,"Carryover",2021-06-16,109,22.1,26.7,57,210617,167,2021,16.3703703703704,19.4444444444444,21.9791666666667,18.3055555555556,4
3,"T21N332",8.59,272108270,"Prev_Control",12,"Unit_2","Fledged",2021,"Carryover",2021-06-16,109,21.4,27,55,210618,167,2021,16.3703703703704,19.4444444444444,21.9791666666667,18.3055555555556,4
3,"T21N333",9.17,272108271,"Prev_Control",12,"Unit_2","Fledged",2021,"Carryover",2021-06-16,109,21.4,27,60,210619,167,2021,16.3703703703704,19.4444444444444,21.9791666666667,18.3055555555556,4
3,"T21N334",8.8,272108272,"Prev_Control",12,"Unit_2","Fledged",2021,"Carryover",2021-06-16,109,21.2,26.4,59,210620,167,2021,16.3703703703704,19.4444444444444,21.9791666666667,18.3055555555556,4
3,"T21N336",9.04,272108274,"Prev_Control",12,"Unit_2","Fledged",2021,"Carryover",2021-06-16,109,20,26.9,59,210622,167,2021,16.3703703703704,19.4444444444444,21.9791666666667,18.3055555555556,4
3,"T21N337",11.19,272108275,"Prev_Cort",12,"Unit_2","Dead",2021,"Carryover",2021-06-16,74,19.1,26.1,59,210623,167,2021,16.3703703703704,19.4444444444444,21.9791666666667,18.3055555555556,4
3,"T21N338",10.89,272108276,"Prev_Cort",12,"Unit_2","Fledged",2021,"Carryover",2021-06-16,74,20.6,26.3,57,210624,167,2021,16.3703703703704,19.4444444444444,21.9791666666667,18.3055555555556,4
3,"T21N339",10.41,272108277,"Prev_Cort",12,"Unit_2","Fledged",2021,"Carryover",2021-06-16,74,18.9,26.2,52,210625,167,2021,16.3703703703704,19.4444444444444,21.9791666666667,18.3055555555556,4
3,"T21N340",10.41,272108278,"Prev_Cort",12,"Unit_2","Fledged",2021,"Carryover",2021-06-16,74,20,25.5,56,210626,167,2021,16.3703703703704,19.4444444444444,21.9791666666667,18.3055555555556,4
3,"T21N341",11.2,272108279,"Prev_Cort",12,"Unit_2","Fledged",2021,"Carryover",2021-06-16,74,20,25.6,51,210627,167,2021,16.3703703703704,19.4444444444444,21.9791666666667,18.3055555555556,4
3,"T21N342",10.93,272108280,"Prev_Cort",12,"Unit_2","Fledged",2021,"Carryover",2021-06-16,74,18.5,25.8,57,210628,167,2021,16.3703703703704,19.4444444444444,21.9791666666667,18.3055555555556,4
3,"T21N343",8.25,281174678,"Prev_Control",12,"Unit_2","Fledged",2021,"Carryover",2021-06-16,25,17.4,25.1,56,210629,167,2021,16.3703703703704,19.4444444444444,21.9791666666667,18.3055555555556,4
3,"T21N344",7.27,281174679,"Prev_Control",12,"Unit_2","Fledged",2021,"Carryover",2021-06-16,25,16.8,25.2,57,210630,167,2021,16.3703703703704,19.4444444444444,21.9791666666667,18.3055555555556,4
3,"T21N345",8.26,281174680,"Prev_Control",12,"Unit_2","Fledged",2021,"Carryover",2021-06-16,25,18,25.5,58,210631,167,2021,16.3703703703704,19.4444444444444,21.9791666666667,18.3055555555556,4
3,"T21N346",7.99,281174681,"Prev_Control",12,"Unit_2","Fledged",2021,"Carryover",2021-06-16,25,19.4,26,62,210632,167,2021,16.3703703703704,19.4444444444444,21.9791666666667,18.3055555555556,4
3,"T21N347",8.38,281174682,"Prev_Control",12,"Unit_2","Fledged",2021,"Carryover",2021-06-16,25,17.9,25.9,55,210633,167,2021,16.3703703703704,19.4444444444444,21.9791666666667,18.3055555555556,4
3,"T21N348",7.55,281174683,"Prev_Control",12,"Unit_2","Fledged",2021,"Carryover",2021-06-16,25,16.8,24.1,51,210634,167,2021,16.3703703703704,19.4444444444444,21.9791666666667,18.3055555555556,4
3,"T21N349",10.02,281174674,"Prev_Cort",12,"Unit_2","Fledged",2021,"Carryover",2021-06-16,32,20.5,25.5,52,210635,167,2021,16.3703703703704,19.4444444444444,20.6746031746032,17.1296296296296,4
4,"T21N350",9.77,281174675,"Prev_Cort",12,"Unit_2","Fledged",2021,"Carryover",2021-06-16,32,21.4,26.2,59,210636,167,2021,16.3703703703704,19.4444444444444,20.6746031746032,17.1296296296296,4
4,"T21N351",9.45,281174677,"Prev_Cort",12,"Unit_2","Fledged",2021,"Carryover",2021-06-16,32,20,26.1,57,210637,167,2021,16.3703703703704,19.4444444444444,20.6746031746032,17.1296296296296,4
4,"T21N352",9.44,281174695,"Prev_Cort",12,"Unit_2","Fledged",2021,"Carryover",2021-06-16,32,21.4,26.2,59,210638,167,2021,16.3703703703704,19.4444444444444,20.6746031746032,17.1296296296296,4
4,"T21N353",10.08,281174688,"Prev_Cort",12,"Unit_2","Dead",2021,"Carryover",2021-06-16,47,16.8,25,42,210639,167,2021,16.3703703703704,19.4444444444444,21.3703703703704,17.7728395061728,4
4,"T21N354",7.97,281174689,"Prev_Cort",12,"Unit_2","Fledged",2021,"Carryover",2021-06-16,47,18.3,25,54,210640,167,2021,16.3703703703704,19.4444444444444,21.3703703703704,17.7728395061728,4
4,"T21N355",8.82,281174690,"Prev_Cort",12,"Unit_2","Fledged",2021,"Carryover",2021-06-16,47,19.7,25.6,57,210641,167,2021,16.3703703703704,19.4444444444444,21.3703703703704,17.7728395061728,4
4,"T21N356",8.77,281174691,"Prev_Cort",12,"Unit_2","Fledged",2021,"Carryover",2021-06-16,47,18.4,26.2,50,210642,167,2021,16.3703703703704,19.4444444444444,21.3703703703704,17.7728395061728,4
4,"T21N357",9.1,281174692,"Prev_Cort",12,"Unit_2","Fledged",2021,"Carryover",2021-06-16,47,18.2,25.8,48,210643,167,2021,16.3703703703704,19.4444444444444,21.3703703703704,17.7728395061728,4
4,"T21N358",8.56,288134938,"Prev_Cort",12,"Unit_2","Fledged",2021,"Carryover",2021-06-16,47,20,26,55,210644,167,2021,16.3703703703704,19.4444444444444,21.3703703703704,17.7728395061728,4
